"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Peltomäki Päivi",18,226,0.000104081262181049,0.0257493335179964,2,"Aaltonen Lauri","Aaltonen Lauri, Ristimäki Ari, Ollikainen Miina, Seppälä Toni, Kere Juha, Lohi Hannes, Heckman Caroline, Kilpivaara Outi, Kontro Mika, Wartiovaara-Kautto Ulla, Haglund Caj, Hautaniemi Sampsa, Joensuu Heikki"
"Pietiläinen Kirsi",50,561,0.00810569429081431,0.0083697070277249,1,"Ollikainen Miina","Ollikainen Miina, Yki-Järvinen Hannele, Laakso Markku, Wartiovaara Anu, Groop Per-Henrik, Virtanen Kirsi, Katajisto Pekka, Tyynismaa Henna, Malm Tarja, Palotie Aarno, Ala-Korpela Mika, Brenner Charles, Hovatta Iiris, Kaikkonen-Määttä Minna, Ketola Kirsi, Tukiainen Taru, Latvala Antti, Rinne Juha, Hautaniemi Sampsa, Kajantie Eero, Vattulainen Ilpo, Lehtonen Sanna, Pussinen Pirkko, Pörsti Ilkka, Nummenmaa Lauri, Ristimäki Ari, Varjosalo Markku, Elo Laura, Meri Seppo, Mäkitie Outi, Luukkonen Panu, Niiranen Teemu, Olkkonen Vesa"
"Pihlajaniemi Taina",35,470,0.0116870990849877,0.00681225096146256,6,"Eklund Lauri","Izzi Valerio, Eklund Lauri, Wei Gonghong, Alitalo Kari, Myllyharju Johanna, Kähäri Veli-Matti, Lahesmaa Riitta, Meri Seppo, Kerkelä Risto, Palotie Aarno, Heino Jyrki, Koivunen Jussi, Saarakkala Simo, Ikonen Elina, Junttila Juhani, Koivunen Peppi, Luukkonen Panu, Yki-Järvinen Hannele, Koistinaho Jari, Kaarniranta Kai, Kanninen Katja, Malm Tarja, Ivaska Johanna, Joensuu Heikki, Kursula Petri, Poutanen Matti, Ruusuvuori Pekka"
"Piltonen Terhi",14,248,0.0045027596554554,0.00265723218627168,11,"Tapanainen Juha","Tapanainen Juha, Tukiainen Taru, Junttila Juhani, Koivunen Peppi, Pirinen Matti, Aaltonen Lauri, Palotie Aarno, Poutanen Matti, Tavi Pasi"
"Pirinen Matti",41,570,0.00599467222252191,0.0298341943412506,1,"Palotie Aarno","Palotie Aarno, Tukiainen Taru, Ala-Korpela Mika, Ganna Andrea, Mäkitie Antti, Schleutker Johanna, Aalto-Setälä Katriina, Junttila Juhani, Kälviäinen Reetta, Laakso Markku, Rinne Juha, Niiranen Teemu, Aittokallio Tero, Kanninen Katja, Ollikainen Miina, Carpen Olli, Hiltunen Mikko, Tienari Pentti, Ritari Jarmo, Ikonen Elina, Jussi Posti, Kere Juha, Piltonen Terhi, Jalkanen Sirpa, Salmi Marko, Joensuu Heikki, Lehesjoki Anna-Elina, Backman Janne, Heckman Caroline"
"Poutanen Matti",39,380,0.0169330652474425,0.0362734816623655,12,"Rantakari Pia","Elo Laura, Aittokallio Tero, Rantakari Pia, Taimen Pekka, Boström Peter, Toppari Jorma, Kotaja Noora, Visakorpi Tapio, Ruusuvuori Pekka, Carpen Olli, Tapanainen Juha, Westermarck Jukka, Heino Jyrki, Roivainen Anne, Alitalo Kari, Elenius Klaus, Otonkoski Timo, Schleutker Johanna, Vuoristo Sanna, Kajantie Eero, Kere Juha, Mikkola Marja, Pihlajaniemi Taina, Piltonen Terhi, Silvennoinen Olli, Tyynismaa Henna"
"Pussinen Pirkko",20,178,0.00363624295911656,0.00115011056018386,13,"Groop Per-Henrik","Hyvärinen Kati, Groop Per-Henrik, Putaala Jukka, Pietiläinen Kirsi, Pörsti Ilkka, He Qiushui, Niiranen Teemu, Ritari Jarmo, Tienari Pentti, Ala-Korpela Mika, Laitinen Kirsi, Meri Seppo, Olkkonen Vesa, Sandholm-Lafferre Niina, Saraste Antti, Varjosalo Markku"
"Putaala Jukka",20,214,0.00483686878056615,0.0024591184076268,13,"Groop Per-Henrik","Groop Per-Henrik, Niemi Mikko, Sandholm-Lafferre Niina, Pussinen Pirkko, Lindsberg Perttu, Oksala Niku, Saraste Antti, Niiranen Teemu, Palotie Aarno, Turunen Joni, Joensuu Heikki, Wartiovaara Anu"
"Pörsti Ilkka",17,84,0.013772898864642,0.00171004633580628,12,"Groop Per-Henrik","Niiranen Teemu, Kaukinen Katri, Groop Per-Henrik, Järvinen Teppo, Pietiläinen Kirsi, Pussinen Pirkko, Ketola Kirsi, Ashorn Per, Lindfors Katri, Aalto-Setälä Katriina, Koistinaho Jari, Meri Seppo, Silvennoinen Olli, Sironen Tarja"
"Rantakari Pia",14,364,8.41826404224293e-05,0.00922986511435973,14,"Jalkanen Sirpa","Salmi Marko, Jalkanen Sirpa, Poutanen Matti, Ivaska Johanna, Heino Jyrki, Kotaja Noora, Toppari Jorma, Jacquemet Guillaume, Boström Peter, Elenius Klaus, Kähäri Veli-Matti"
"Rantamäki Tomi",5,38,0.000763093249847713,0.000548527469310779,1,"Jussi Posti","Jussi Posti, Carpen Olli, Olkkonen Vesa, Elo Laura, Varjosalo Markku"
"Rautajoki Kirsi",17,188,0.000103732163553704,0.0566072251530493,2,"Nykter Matti","Nykter Matti, Tammela Teuvo, Visakorpi Tapio, Ruusuvuori Pekka, Ketola Kirsi, Lahesmaa Riitta, Lohi Olli, Hyöty Heikki, Toppari Jorma, Aaltonen Lauri, Jussi Posti"
"Renvall Hanna",5,24,0.000216441148953402,0.000243648869583444,4,"Kere Juha","Kere Juha, Palva Matias, Palva Satu, Vanhatalo Sampsa"
"Rinne Juha",51,1045,0.00765532230280251,0.0639890128508398,1,"Kälviäinen Reetta","Kälviäinen Reetta, Palotie Aarno, Schleutker Johanna, Aalto-Setälä Katriina, Hiltunen Mikko, Airas Laura, Carpen Olli, Tienari Pentti, Leinonen Ville, Nummenmaa Lauri, Roivainen Anne, Hirvonen Jussi, Haapasalo Annakaisa, Junttila Juhani, Lund Riikka, Ollikainen Miina, Virtanen Kirsi, Koistinaho Jari, Elo Laura, Malm Tarja, Pirinen Matti, Kanninen Katja, Tavi Pasi, Pietiläinen Kirsi, Wartiovaara Anu, Niiranen Teemu, Kaarniranta Kai, Myllyharju Johanna, Turunen Joni, Hallman Mikko, Saraste Antti, Lindsberg Perttu, Jussi Posti, Lahesmaa Riitta, Latvala Antti, Hovatta Iiris, Saarma Mart, Tohka Jussi"
"Ristimäki Ari",60,1932,0.0157584571182661,0.263294330763622,5,"Haglund Caj","Haglund Caj, Leppä Sirpa, Ojala Päivi, Westermarck Jukka, Aaltonen Lauri, Aittokallio Tero, Visakorpi Tapio, Carpen Olli, Kilpivaara Outi, Joensuu Heikki, Peltomäki Päivi, Seppälä Toni, Hautaniemi Sampsa, Lundin Johan, Katajisto Pekka, Sahu Biswajyoti, Alitalo Kari, Ketola Kirsi, Saharinen Pipsa, Cerullo Vincenzo, Vähärautio Anna, Heikinheimo Markku, Palotie Aarno, Heckman Caroline, Varjosalo Markku, Pietiläinen Kirsi, Kontro Mika, Vaahtomeri Kari, Wartiovaara-Kautto Ulla, Hietakangas Ville, Najumudeen Arafath, Elenius Klaus, Elo Laura, Lahesmaa Riitta, Nykter Matti, Ilonen Ilkka, Mäkitie Antti, Wei Gonghong, Koivunen Jussi, Lindsberg Perttu, Mäkinen Taija, Turunen Joni"
"Ritari Jarmo",14,132,0.00392321919907693,0.00308524670689186,13,"Hyvärinen Kati","Hyvärinen Kati, Kilpivaara Outi, Meri Seppo, Pirinen Matti, Wartiovaara-Kautto Ulla, Haapasalo-Tuomainen Karita, Palotie Aarno, Pussinen Pirkko, Ganna Andrea, Kekäläinen Eliisa, Frilander Mikko, Varjosalo Markku"
"Roivainen Anne",39,672,0.0165777896027331,0.0087399469496735,6,"Saraste Antti","Saraste Antti, Jalkanen Sirpa, Yla Herttuala, Kaikkonen-Määttä Minna, Rinne Juha, Hirvonen Jussi, Airas Laura, Salmi Marko, Taimen Pekka, Nummenmaa Lauri, Virtanen Kirsi, Kaukinen Katri, Lindfors Katri, Wartiovaara Anu, Rosenholm Jessica, Olkkonen Vesa, Poutanen Matti, Hovatta Iiris, Ruusuvuori Pekka, Sajantila Antti, Tyynismaa Henna, Elo Laura, Heinäniemi Merja, Ivaska Johanna, Heino Jyrki, Huttunen Kristiina, Laitinen Kirsi, Mäkitie Outi, Westermarck Jukka"
"Rosenholm Jessica",12,70,0.00408338537030255,0.00214320116217823,5,"Jalkanen Sirpa","Eriksson John, Jalkanen Sirpa, Westermarck Jukka, Meinander Annika, Roivainen Anne, Jacquemet Guillaume, Heino Jyrki, Saarakkala Simo, Saraste Antti"
"Ruusuvuori Pekka",21,269,0.00190824005703986,0.0696963464441243,2,"Nykter Matti","Nykter Matti, Visakorpi Tapio, Lohi Olli, Lund Riikka, Rautajoki Kirsi, Tammela Teuvo, Poutanen Matti, Ketola Kirsi, Auvinen Anssi, Kaikkonen-Määttä Minna, Roivainen Anne, Saraste Antti, Kotaja Noora, Toppari Jorma, Pihlajaniemi Taina, Taimen Pekka"
"Rämet Mika",26,278,0.039856880443785,0.00892107635011074,7,"Hallman Mikko","Hallman Mikko, Haapalainen Antti, Palotie Aarno, Nykter Matti, Silvennoinen Olli, Lohi Olli, Hytönen Vesa, Myllyharju Johanna, Ungureanu Daniela, Jartti Tuomas, Varjosalo Markku, Meri Seppo, Knip Mikael, Koivunen Peppi, Andressoo Jaan-Olle, Hietakangas Ville"
"Räsänen Esa",4,20,0.00125954784745786,0.000775734069230563,1,"Aalto-Setälä Katriina","Aalto-Setälä Katriina, Taimen Pekka, Vehkaoja Antti"
"Saarakkala Simo",11,310,0.000697499057433706,9.57588187127545e-05,3,"Töyräs Juha","Töyräs Juha, Afara Isaac, Korhonen Rami, Pihlajaniemi Taina, Izzi Valerio, Heino Jyrki, Rosenholm Jessica"
"Saarma Mart",32,314,0.0294447118658505,0.00204003464697658,4,"Voutilainen Merja","Airavaara Mikko, Voutilainen Merja, Andressoo Jaan-Olle, Kaila Kai, Kallijärvi Jukka, Varjosalo Markku, Alitalo Kari, Urtti Arto, Shulga Anastasia, Vattulainen Ilpo, Huiskonen Juha, Otonkoski Timo, Lehesjoki Anna-Elina, Myöhänen Timo, Hietakangas Ville, Kere Juha, Knip Mikael, Haapasalo Annakaisa, Lehtonen Sanna, Meri Seppo, Palotie Aarno, Rinne Juha, Vanhatalo Sampsa"
"Saharinen Pipsa",29,438,0.002183102463888,0.0183651966498673,6,"Alitalo Kari","Alitalo Kari, Eklund Lauri, Silvennoinen Olli, Ivaska Johanna, Joensuu Heikki, Ketola Kirsi, Ojala Päivi, Ristimäki Ari, Yla Herttuala, Kivelä Riikka, Carpen Olli, Jacquemet Guillaume, Mäkinen Taija, Vaahtomeri Kari, Ilonen Ilkka, Hautaniemi Sampsa, Haikala Heidi, Mustjoki Satu, Haglund Caj, Ungureanu Daniela"
"Sahu Biswajyoti",24,259,0.00169418121849943,0.0430317314533443,2,"Hautaniemi Sampsa","Hautaniemi Sampsa, Aaltonen Lauri, Visakorpi Tapio, Ristimäki Ari, Kere Juha, Varjosalo Markku, Kilpivaara Outi, Vähärautio Anna, Mustjoki Satu, Tammela Teuvo, Wei Gonghong, Hautala Timo, Ketola Kirsi, Lundin Johan, Aittokallio Tero, Ojala Päivi, Otonkoski Timo, Elo Laura, Joensuu Heikki"
"Sajantila Antti",18,156,0.00338399585603306,0.00374195374572392,11,"Carpen Olli","Kere Juha, Kantele Anu, Vapalahti Olli, Carpen Olli, Kekäläinen Eliisa, Söderlund-Venermo Maria, Tienari Pentti, Brenner Charles, Niemi Mikko, Wartiovaara Anu, Roivainen Anne, Tyynismaa Henna, Kauppi Liisa"
"Salmi Marko",38,1076,0.00778591494941878,0.0301034062300151,14,"Jalkanen Sirpa","Jalkanen Sirpa, Rantakari Pia, Joensuu Heikki, Ivaska Johanna, Palotie Aarno, Niiranen Teemu, Haglund Caj, Roivainen Anne, Airas Laura, Hautaniemi Sampsa, Saraste Antti, Ala-Korpela Mika, Laakso Markku, Mustjoki Satu, Jacquemet Guillaume, Kotaja Noora, Pellinen Teijo, Tukiainen Taru, Pirinen Matti, Alitalo Kari, Boström Peter, Hallman Mikko, Kantele Anu, Knip Mikael, Kontro Mika, Toppari Jorma, Vattulainen Ilpo, Yla Herttuala, He Qiushui"
"Sanches Ribeiro",4,10,0,0.00150506924791362,2,"Hytönen Vesa","Nykter Matti, Hytönen Vesa"
"Sandholm-Lafferre Niina",16,426,0.00108636383143107,0.00812495056290862,13,"Groop Per-Henrik","Groop Per-Henrik, Putaala Jukka, Palotie Aarno, Lindsberg Perttu, Lohi Hannes, Savarese Marco, Ganna Andrea, Knip Mikael, Pussinen Pirkko, Skottman Heli, Yla Herttuala"
"Saraste Antti",31,542,0.0109175904220651,0.0060023443715602,6,"Roivainen Anne","Roivainen Anne, Yla Herttuala, Jalkanen Sirpa, Taimen Pekka, Kaikkonen-Määttä Minna, Airas Laura, Salmi Marko, Backman Janne, Alitalo Kari, Kivelä Riikka, Putaala Jukka, Jussi Posti, Rinne Juha, Eklund Lauri, Kere Juha, Ruusuvuori Pekka, Nummenmaa Lauri, Pussinen Pirkko, Laakso Markku, Rosenholm Jessica, Virtanen Kirsi"
"Savarese Marco",4,14,0.000397972435172385,5.30812363880718e-05,13,"Sandholm-Lafferre Niina","Sandholm-Lafferre Niina, Tyynismaa Henna, Lohi Hannes, Lehesjoki Anna-Elina"
"Schleutker Johanna",39,1647,4.18918352813037e-05,0.5590225082491,2,"Tammela Teuvo","Tammela Teuvo, Auvinen Anssi, Visakorpi Tapio, Aaltonen Lauri, Palotie Aarno, Kilpivaara Outi, Kälviäinen Reetta, Rinne Juha, Carpen Olli, Aalto-Setälä Katriina, Hiltunen Mikko, Wei Gonghong, Junttila Juhani, Tienari Pentti, Nykter Matti, Niiranen Teemu, Pirinen Matti, Boström Peter, Taimen Pekka, Kere Juha, Ganna Andrea, Kaarniranta Kai, Myllyharju Johanna, Turunen Joni, Hallman Mikko, Kajantie Eero, Ketola Kirsi, Poutanen Matti, Mäkitie Antti, Hautaniemi Sampsa"
"Seppälä Toni",18,192,0.000828660398850169,0.0260465899724055,2,"Aaltonen Lauri","Aaltonen Lauri, Ristimäki Ari, Peltomäki Päivi, Backman Janne, Nykter Matti, Kilpivaara Outi, Leinonen Ville, Visakorpi Tapio, Heikinheimo Markku, Hiltunen Mikko, Joensuu Heikki, Mäkitie Antti, Pellinen Teijo"
"Shulga Anastasia",2,10,0,1.15783917238248e-05,4,"Saarma Mart","Saarma Mart, Kaila Kai"
"Silvennoinen Olli",24,194,0.0140475682047816,0.00512873159388933,6,"Ungureanu Daniela","Ungureanu Daniela, Saharinen Pipsa, Rämet Mika, Alitalo Kari, Aalto-Setälä Katriina, Otonkoski Timo, Ganna Andrea, Lahesmaa Riitta, Mustjoki Satu, Varjosalo Markku, Kotaja Noora, Frilander Mikko, Skottman Heli, Elenius Klaus, Poutanen Matti, Pörsti Ilkka, Vattulainen Ilpo, Visakorpi Tapio"
"Sironen Tarja",23,622,4.08944106317488e-05,0.0119807702346949,9,"Vapalahti Olli","Vapalahti Olli, Kantele Anu, Huhtamo Eili, Meri Seppo, Hautala Timo, Kekäläinen Eliisa, Kakkola Laura, Lempainen Johanna, Huiskonen Juha, Alitalo Kari, Knip Mikael, Butcher Sarah, Yla Herttuala, Pörsti Ilkka"
"Sistonen Lea",18,217,0.00101396678624277,0.00608884173737456,5,"Alitalo Kari","Eriksson John, Alitalo Kari, Kaarniranta Kai, Hietakangas Ville, Leppä Sirpa, Oksala Niku, Meinander Annika, Ketola Kirsi, Elenius Klaus, Jacquemet Guillaume, Kotaja Noora, Lundin Johan, Hautaniemi Sampsa, Kaikkonen-Määttä Minna, Paakinaho Ville"
"Skottman Heli",24,248,0.00402801377100736,0.00524086297618121,1,"Nymark Soile","Nymark Soile, Kaarniranta Kai, Otonkoski Timo, Aalto-Setälä Katriina, Lahesmaa Riitta, Urtti Arto, Ollikainen Miina, Airas Laura, Kere Juha, Lund Riikka, Nykter Matti, Silvennoinen Olli, Tavi Pasi, Groop Per-Henrik, Malm Tarja, Sandholm-Lafferre Niina, Vuoristo Sanna, Wartiovaara Anu, Hytönen Vesa"
"Skrifvars Markus",3,8,0,2.77066790187343e-05,10,"Kekäläinen Eliisa","Kekäläinen Eliisa"
"Sundberg Lotta-Riina",2,8,0,6.14922630573961e-06,9,"Huiskonen Juha","Huiskonen Juha"
"Söderlund-Venermo Maria",18,248,0.000552972225713208,0.0229908737489214,12,"Jartti Tuomas","Jartti Tuomas, Knip Mikael, Toppari Jorma, Hyöty Heikki, Kakkola Laura, Mäkitie Antti, Haglund Caj, Vapalahti Olli, Ilonen Ilkka, Kantele Anu, Kekäläinen Eliisa, Sajantila Antti, Tienari Pentti, Aaltonen Lauri, Ashorn Per"
"Taimen Pekka",37,724,0.0193115860861242,0.0395743837776251,5,"Boström Peter","Boström Peter, Ketola Kirsi, Ivaska Johanna, Poutanen Matti, Jalkanen Sirpa, Westermarck Jukka, Saraste Antti, Elo Laura, Eklund Lauri, Schleutker Johanna, Eriksson John, Roivainen Anne, Alitalo Kari, Elenius Klaus, Kivelä Riikka, Meinander Annika, Joensuu Heikki, Aalto-Setälä Katriina, Heino Jyrki, Lundin Johan, Kaikkonen-Määttä Minna, Carpen Olli, Hautaniemi Sampsa, Kähäri Veli-Matti, Laakso Markku, Ruusuvuori Pekka, Räsänen Esa"
"Tammela Teuvo",32,2448,0.00153535238680394,1,2,"Auvinen Anssi","Auvinen Anssi, Visakorpi Tapio, Schleutker Johanna, Nykter Matti, Tikkinen Kari, Aaltonen Lauri, Kilpivaara Outi, Ketola Kirsi, Rautajoki Kirsi, Wei Gonghong, Joensuu Heikki, Kakkola Laura, Ruusuvuori Pekka, Oksala Niku, Boström Peter, Sahu Biswajyoti, Järvinen Tero, Palotie Aarno, Lundin Johan"
"Tapanainen Juha",21,368,0.00213244705201473,0.0116588049992173,11,"Piltonen Terhi","Piltonen Terhi, Kere Juha, Vuoristo Sanna, Knip Mikael, Heikinheimo Markku, Otonkoski Timo, Toppari Jorma, Varjosalo Markku, Meri Seppo, Poutanen Matti, Laakso Markku"
"Tavi Pasi",25,186,0.00428594072472683,0.00247400873521535,6,"Koistinaho Jari","Koistinaho Jari, Kaikkonen-Määttä Minna, Yla Herttuala, Kanninen Katja, Kaarniranta Kai, Haapasalo Annakaisa, Malm Tarja, Rinne Juha, Alitalo Kari, Kivelä Riikka, Hiltunen Mikko, Kerkelä Risto, Skottman Heli, Urtti Arto, Laakso Markku, Nykter Matti, Piltonen Terhi, Wartiovaara Anu"
"Tienari Pentti",44,410,0.0159278817849887,0.0227437500224323,1,"Rinne Juha","Palotie Aarno, Rinne Juha, Kälviäinen Reetta, Aalto-Setälä Katriina, Wartiovaara Anu, Schleutker Johanna, Hiltunen Mikko, Carpen Olli, McWilliams Thomas, Kekäläinen Eliisa, Lindsberg Perttu, Niiranen Teemu, Pirinen Matti, Ikonen Elina, Ilonen Ilkka, Sajantila Antti, Söderlund-Venermo Maria, Junttila Juhani, Vapalahti Olli, Kajantie Eero, Mustjoki Satu, Pussinen Pirkko, Hovatta Iiris, Kaila Kai, Tyynismaa Henna, Yla Herttuala, Haapasalo Annakaisa, Huhtamo Eili, Knip Mikael, Leinonen Ville, Meri Seppo, Otonkoski Timo, Airas Laura, Hautala Timo"
"Tikkinen Kari",6,222,6.28377529219555e-05,0.140156724201007,2,"Tammela Teuvo","Tammela Teuvo, Auvinen Anssi, Järvinen Teppo, Kaukinen Katri"
"Tohka Jussi",15,80,0.00756628344615984,0.00103669834488171,1,"Hovatta Iiris","Hovatta Iiris, Hirvonen Jussi, Koistinaho Jari, Malm Tarja, Leinonen Ville, Kälviäinen Reetta, Hiltunen Mikko, Haapasalo Annakaisa, Ikonen Elina, Rinne Juha, Yla Herttuala"
"Toppari Jorma",51,1899,0.0207605773082712,0.324934432407963,12,"Knip Mikael","Knip Mikael, Hyöty Heikki, Lindfors Katri, Lempainen Johanna, Kinnunen Tuure, Lahesmaa Riitta, Kotaja Noora, Elo Laura, Lund Riikka, Poutanen Matti, Söderlund-Venermo Maria, Heikinheimo Markku, Tapanainen Juha, Kere Juha, Otonkoski Timo, Nykter Matti, Westermarck Jukka, Kauppi Liisa, Rantakari Pia, Groop Per-Henrik, Jartti Tuomas, Rautajoki Kirsi, Vapalahti Olli, Carpen Olli, Frilander Mikko, Hautaniemi Sampsa, Ikonen Elina, Lehesjoki Anna-Elina, Ruusuvuori Pekka, Salmi Marko, Boström Peter, Laakso Markku, Lohi Olli, Mäkitie Outi"
"Tukiainen Taru",25,272,0.00143421503858855,0.00653947788074682,1,"Ala-Korpela Mika","Pirinen Matti, Palotie Aarno, Ala-Korpela Mika, Ganna Andrea, Groop Per-Henrik, Laakso Markku, Piltonen Terhi, Luukkonen Panu, Pietiläinen Kirsi, Yki-Järvinen Hannele, Jalkanen Sirpa, Salmi Marko, Kälviäinen Reetta, Niiranen Teemu, Olkkonen Vesa, Hovatta Iiris"
"Turunen Joni",17,132,0.0030418127062591,0.0080379377896689,1,"Kaarniranta Kai","Palotie Aarno, Kaarniranta Kai, Groop Per-Henrik, Lohi Hannes, Carpen Olli, Kälviäinen Reetta, Myllyharju Johanna, Rinne Juha, Schleutker Johanna, Kere Juha, Lehesjoki Anna-Elina, Putaala Jukka, Ristimäki Ari, Tyynismaa Henna"
"Tyynismaa Henna",31,250,0.00803898971550096,0.0042168619912283,1,"Wartiovaara Anu","Wartiovaara Anu, Pietiläinen Kirsi, Haapasalo Annakaisa, Hietakangas Ville, Heckman Caroline, Joensuu Heikki, Katajisto Pekka, Otonkoski Timo, Yki-Järvinen Hannele, Cerullo Vincenzo, Varjosalo Markku, Carpen Olli, Kallijärvi Jukka, Hovatta Iiris, Kauppi Liisa, Kursula Petri, Lohi Hannes, Roivainen Anne, Sajantila Antti, Savarese Marco, Tienari Pentti, Ojala Tiina, Palotie Aarno, Lehesjoki Anna-Elina, Poutanen Matti, Turunen Joni, Vuoristo Sanna"
"Töyräs Juha",10,496,0.00234000809908815,0.000210575101325153,3,"Afara Isaac","Afara Isaac, Saarakkala Simo, Kainulainen Samu, Korhonen Rami, Yla Herttuala, Kälviäinen Reetta"
"Ungureanu Daniela",16,150,0.000675954685003321,0.00925466800004608,6,"Silvennoinen Olli","Silvennoinen Olli, Pellinen Teijo, Hautaniemi Sampsa, Aittokallio Tero, Rämet Mika, Varjosalo Markku, Ketola Kirsi, Nykter Matti, Vähärautio Anna, Heckman Caroline, Kotaja Noora, Saharinen Pipsa, Visakorpi Tapio"
"Urtti Arto",25,130,0.0274986305383716,0.00216527269226616,1,"Kaarniranta Kai","Kaarniranta Kai, Varjosalo Markku, Skottman Heli, Butcher Sarah, Cerullo Vincenzo, Saarma Mart, Yla Herttuala, Myöhänen Timo, Huttunen Kristiina, Järvinen Tero, Tavi Pasi, Andressoo Jaan-Olle, Knip Mikael, Nymark Soile, Meri Seppo, Mäkitie Antti, Otonkoski Timo"
"Vaahtomeri Kari",10,72,0,0.00327593142600089,6,"Alitalo Kari","Katajisto Pekka, Saharinen Pipsa, Alitalo Kari, Carpen Olli, Mäkinen Taija, Ojala Päivi, Ristimäki Ari, Eklund Lauri"
"Vanhatalo Sampsa",7,102,0.00507094167707464,4.44194425224506e-05,4,"Kaila Kai","Kaila Kai, Palva Matias, Ashorn Per, Renvall Hanna, Saarma Mart"
"Vapalahti Olli",51,1124,0.0104119987948692,0.0221928739000269,9,"Sironen Tarja","Sironen Tarja, Kantele Anu, Huhtamo Eili, Kakkola Laura, Kekäläinen Eliisa, Meri Seppo, Huiskonen Juha, Hautala Timo, Lempainen Johanna, Butcher Sarah, Aittokallio Tero, Knip Mikael, Sajantila Antti, Carpen Olli, Alitalo Kari, Söderlund-Venermo Maria, Tienari Pentti, Kanninen Katja, Katajisto Pekka, Paavilainen Ville, Laakso Markku, Varjosalo Markku, Yla Herttuala, Cerullo Vincenzo, Hyöty Heikki, Kaila Kai, Mäkitie Antti, Ojala Päivi, Toppari Jorma, Aaltonen Lauri, Koistinaho Jari, Otonkoski Timo, Hytönen Vesa, Kinnunen Tuure, Ojala Tiina, Wartiovaara Anu"
"Varjosalo Markku",92,912,0.0524207578242307,0.0413080714039502,11,"Hautaniemi Sampsa","Hautaniemi Sampsa, Kere Juha, Leppä Sirpa, Joensuu Heikki, Alitalo Kari, Hautala Timo, Mustjoki Satu, Otonkoski Timo, Vuoristo Sanna, Haapasalo-Tuomainen Karita, Lappalainen Pekka, Sahu Biswajyoti, Frilander Mikko, Kivelä Riikka, Heckman Caroline, Tapanainen Juha, Wei Gonghong, Kaarniranta Kai, Kilpivaara Outi, Urtti Arto, Aaltonen Lauri, Meri Seppo, Saarma Mart, Huiskonen Juha, Ojala Tiina, Olkkonen Vesa, Ungureanu Daniela, Ikonen Elina, Paakinaho Ville, Ristimäki Ari, Silvennoinen Olli, Wartiovaara-Kautto Ulla, Hytönen Vesa, Katajisto Pekka, Kontro Mika, Ojala Päivi, Pietiläinen Kirsi, Cerullo Vincenzo, Kaikkonen-Määttä Minna, Koistinaho Jari, Myllyharju Johanna, Paavilainen Ville, Rämet Mika, Tyynismaa Henna, Vattulainen Ilpo, Leinonen Ville, Malm Tarja, Mäkitie Outi, Vapalahti Olli, Aalto-Setälä Katriina, Haglund Caj, Hietakangas Ville, Kakkola Laura, Kekäläinen Eliisa, Kinnunen Tuure, Lohi Olli, Mattila Jaakko, Pellinen Teijo, Westermarck Jukka, Elenius Klaus, Eriksson John, Ivaska Johanna, Junttila Juhani, Visakorpi Tapio, Vähärautio Anna, Andressoo Jaan-Olle, Butcher Sarah, Pussinen Pirkko, Rantamäki Tomi, Ritari Jarmo, Yla Herttuala"
"Vattulainen Ilpo",17,196,0.0060280689543735,0.00129519942407657,14,"Ikonen Elina","Ikonen Elina, Ivaska Johanna, Lappalainen Pekka, Jacquemet Guillaume, Kursula Petri, Pietiläinen Kirsi, Yki-Järvinen Hannele, Saarma Mart, Varjosalo Markku, Hytönen Vesa, Najumudeen Arafath, Salmi Marko, Cerullo Vincenzo, Silvennoinen Olli, Wartiovaara Anu, Yla Herttuala"
"Vehkaoja Antti",5,108,0.00145808975770016,0.00190177512933462,13,"Oksala Niku","Oksala Niku, Hytönen Vesa, Nykter Matti, Räsänen Esa"
"Virtanen Kirsi",20,174,0.00518080079472564,0.00219371051380357,1,"Laakso Markku","Nummenmaa Lauri, Laakso Markku, Hirvonen Jussi, Pietiläinen Kirsi, Rinne Juha, Roivainen Anne, Leinonen Ville, Elo Laura, Laitinen Kirsi, Ollikainen Miina, Ala-Korpela Mika, Kivelä Riikka, Saraste Antti, Yki-Järvinen Hannele"
"Visakorpi Tapio",43,1876,0.0165468943808339,0.670472767208907,2,"Nykter Matti","Tammela Teuvo, Nykter Matti, Auvinen Anssi, Schleutker Johanna, Westermarck Jukka, Aaltonen Lauri, Aittokallio Tero, Haglund Caj, Ristimäki Ari, Kilpivaara Outi, Ruusuvuori Pekka, Ketola Kirsi, Rautajoki Kirsi, Sahu Biswajyoti, Kakkola Laura, Poutanen Matti, Järvinen Tero, Seppälä Toni, Kotaja Noora, Lindfors Katri, Heikinheimo Markku, Jalkanen Sirpa, Kontro Mika, Laakso Markku, Oksala Niku, Palotie Aarno, Ungureanu Daniela, Varjosalo Markku, Wei Gonghong, Elenius Klaus, Joensuu Heikki, Kaukinen Katri, Paakinaho Ville, Silvennoinen Olli"
"Voutilainen Merja",9,146,0.000105128558063081,0.000280169196072376,4,"Saarma Mart","Saarma Mart, Airavaara Mikko, Andressoo Jaan-Olle, Huiskonen Juha, Alitalo Kari, Haapasalo Annakaisa"
