"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Huttunen Kristiina",10,32,0.00890392414114745,0.000246868903673692,6,"Malm Tarja","Malm Tarja, Niemi Mikko, Hiltunen Mikko, Urtti Arto, Kanninen Katja, Koistinaho Jari, Järvinen Tero, Myöhänen Timo, Roivainen Anne"
"Hytönen Vesa",23,146,0.0287867257045339,0.0150633695729282,12,"Hyöty Heikki","Hyöty Heikki, Oksala Niku, Butcher Sarah, Knip Mikael, Rämet Mika, Mäkitie Antti, Varjosalo Markku, Yla Herttuala, Palotie Aarno, Vattulainen Ilpo, Kaikkonen-Määttä Minna, Sanches Ribeiro, Kakkola Laura, Nykter Matti, Vehkaoja Antti, Huiskonen Juha, Skottman Heli, Vapalahti Olli, Westermarck Jukka"
"Hyvärinen Kati",11,168,0.000125675505843911,0.00242233922110159,13,"Ritari Jarmo","Ritari Jarmo, Pussinen Pirkko, Kilpivaara Outi, Olkkonen Vesa, Wartiovaara-Kautto Ulla, Ikonen Elina, Lehtonen Sanna, Kekäläinen Eliisa, Meri Seppo"
"Hyöty Heikki",32,1612,0.00231126204168808,0.308344193878116,12,"Toppari Jorma","Knip Mikael, Toppari Jorma, Lindfors Katri, Lahesmaa Riitta, Hytönen Vesa, Elo Laura, Lempainen Johanna, Söderlund-Venermo Maria, Ashorn Per, Kinnunen Tuure, Kere Juha, Nykter Matti, Lund Riikka, Kaukinen Katri, Aittokallio Tero, Jartti Tuomas, Rautajoki Kirsi, Vapalahti Olli, Lohi Olli, Yla Herttuala"
"Ikonen Elina",30,272,0.0189459781798012,0.00774281996468242,14,"Olkkonen Vesa","Olkkonen Vesa, Vattulainen Ilpo, Haglund Caj, Yki-Järvinen Hannele, Luukkonen Panu, Palotie Aarno, Pihlajaniemi Taina, Tienari Pentti, Varjosalo Markku, Lappalainen Pekka, Joensuu Heikki, Laakso Markku, Lundin Johan, Pirinen Matti, Lehesjoki Anna-Elina, Hyvärinen Kati, Lehtonen Sanna, Toppari Jorma, Hautaniemi Sampsa, Kere Juha, McWilliams Thomas, Mäkinen Taija, Ojala Päivi, Tohka Jussi"
"Ilonen Ilkka",13,82,0.00252213470134797,0.00347422688360163,5,"Haikala Heidi","Haikala Heidi, Mustjoki Satu, Saharinen Pipsa, Pellinen Teijo, Kekäläinen Eliisa, Söderlund-Venermo Maria, Tienari Pentti, Cerullo Vincenzo, Mäkitie Antti, Ristimäki Ari, Haglund Caj"
"Ivaska Johanna",42,631,0.0160218365166469,0.0215325037823975,14,"Jacquemet Guillaume","Jacquemet Guillaume, Pellinen Teijo, Westermarck Jukka, Joensuu Heikki, Taimen Pekka, Salmi Marko, Heino Jyrki, Vattulainen Ilpo, Ketola Kirsi, Saharinen Pipsa, Eriksson John, Rantakari Pia, Elo Laura, Lappalainen Pekka, Eklund Lauri, Kähäri Veli-Matti, Jalkanen Sirpa, Hautaniemi Sampsa, Ojala Päivi, Boström Peter, Haikala Heidi, Lundin Johan, Olkkonen Vesa, Alitalo Kari, Mäkitie Antti, Carpen Olli, Groop Per-Henrik, Najumudeen Arafath, Elenius Klaus, Pihlajaniemi Taina, Roivainen Anne, Varjosalo Markku, Huovinen Tuomas, Katajisto Pekka, Otonkoski Timo"
"Izzi Valerio",16,196,0.00665791419745237,0.00105684266462554,6,"Pihlajaniemi Taina","Pihlajaniemi Taina, Myllyharju Johanna, Koivunen Peppi, Heino Jyrki, Koivunen Jussi, Eklund Lauri, Saarakkala Simo, Alitalo Kari, Junttila Juhani, Kerkelä Risto, Kursula Petri, Katajisto Pekka, Wei Gonghong"
"Jacquemet Guillaume",22,258,0.00128628777931279,0.00470348596258845,14,"Ivaska Johanna","Ivaska Johanna, Vattulainen Ilpo, Lappalainen Pekka, Eriksson John, Eklund Lauri, Saharinen Pipsa, Elo Laura, Salmi Marko, Alitalo Kari, Najumudeen Arafath, Rantakari Pia, Rosenholm Jessica, Sistonen Lea, Joensuu Heikki, Nykter Matti, Westermarck Jukka, Jalkanen Sirpa"
"Jalkanen Sirpa",52,1312,0.0123418849583498,0.0340019613380159,14,"Salmi Marko","Salmi Marko, Rantakari Pia, Roivainen Anne, Joensuu Heikki, Saraste Antti, Airas Laura, Palotie Aarno, Koivunen Jussi, Taimen Pekka, Niiranen Teemu, Haglund Caj, Rosenholm Jessica, Boström Peter, Ala-Korpela Mika, Laakso Markku, Yla Herttuala, Ivaska Johanna, Ketola Kirsi, Elo Laura, Eriksson John, Aittokallio Tero, Hautaniemi Sampsa, Alitalo Kari, Lahesmaa Riitta, Tukiainen Taru, Heikinheimo Markku, Pirinen Matti, Hallman Mikko, Kantele Anu, Knip Mikael, Kontro Mika, Lindsberg Perttu, Visakorpi Tapio, Elenius Klaus, Jacquemet Guillaume, Kaarniranta Kai"
"Jartti Tuomas",10,102,0.00015883987544161,0.00441247709550555,12,"Söderlund-Venermo Maria","Söderlund-Venermo Maria, Hallman Mikko, Rämet Mika, Hyöty Heikki, Knip Mikael, Laitinen Kirsi, Toppari Jorma, Lahesmaa Riitta, Lund Riikka"
"Jernvall Jukka",9,40,0.00795579299098213,7.19027733351497e-05,11,"Mikkola Marja","Mikkola Marja, Di-Poi Nicolas, Frilander Mikko, Kere Juha, Lehtonen Sanna"
"Joensuu Heikki",67,1373,0.0254507276498405,0.0921470880987445,5,"Lundin Johan","Lundin Johan, Westermarck Jukka, Hautaniemi Sampsa, Kähäri Veli-Matti, Varjosalo Markku, Elo Laura, Jalkanen Sirpa, Mäkitie Antti, Ristimäki Ari, Salmi Marko, Ivaska Johanna, Elenius Klaus, Alitalo Kari, Aalto-Setälä Katriina, Carpen Olli, Ganna Andrea, Hiltunen Mikko, Hovatta Iiris, Junttila Juhani, Kaarniranta Kai, Kälviäinen Reetta, Aittokallio Tero, Haglund Caj, Haikala Heidi, Saharinen Pipsa, Ketola Kirsi, Palotie Aarno, Pellinen Teijo, Mustjoki Satu, Tammela Teuvo, Heckman Caroline, Aaltonen Lauri, Heikinheimo Markku, Otonkoski Timo, Taimen Pekka, Tyynismaa Henna, Wartiovaara Anu, Ikonen Elina, Kere Juha, Boström Peter, Leppä Sirpa, Jacquemet Guillaume, Pihlajaniemi Taina, Pirinen Matti, Sahu Biswajyoti, Seppälä Toni, Peltomäki Päivi, Putaala Jukka, Visakorpi Tapio, Vähärautio Anna, Wartiovaara-Kautto Ulla"
"Junttila Juhani",36,584,0.0038324021734855,0.0323518660246221,1,"Kälviäinen Reetta","Aalto-Setälä Katriina, Kerkelä Risto, Kälviäinen Reetta, Carpen Olli, Hiltunen Mikko, Palotie Aarno, Ganna Andrea, Hovatta Iiris, Joensuu Heikki, Kaarniranta Kai, Mäkitie Antti, Rinne Juha, Schleutker Johanna, Pirinen Matti, Eklund Lauri, Pihlajaniemi Taina, Tienari Pentti, Hautala Timo, Kajantie Eero, Kere Juha, Niiranen Teemu, Piltonen Terhi, Aaltonen Lauri, Kilpivaara Outi, Koivunen Peppi, Izzi Valerio, Varjosalo Markku"
"Jussi Posti",18,124,0.00668393601659908,0.00197937367190407,1,"Rantamäki Tomi","Rantamäki Tomi, Järvinen Teppo, Leinonen Ville, Hirvonen Jussi, Backman Janne, Palotie Aarno, Pirinen Matti, Saraste Antti, Nykter Matti, Rautajoki Kirsi, Rinne Juha, Carpen Olli"
"Järvinen Teppo",12,126,0.001315059062954,0.00103856881355709,1,"Järvinen Tero","Järvinen Tero, Leinonen Ville, Jussi Posti, Pörsti Ilkka, Tikkinen Kari, Heino Jyrki"
"Järvinen Tero",11,88,0.00014444522424917,0.0105424787244725,1,"Järvinen Teppo","Järvinen Teppo, Nykter Matti, Auvinen Anssi, Kakkola Laura, Tammela Teuvo, Visakorpi Tapio, Urtti Arto, Huttunen Kristiina"
"Kaarniranta Kai",43,630,0.00889106448362449,0.0216159367600408,1,"Kälviäinen Reetta","Hiltunen Mikko, Skottman Heli, Urtti Arto, Carpen Olli, Kälviäinen Reetta, Aalto-Setälä Katriina, Ganna Andrea, Hovatta Iiris, Joensuu Heikki, Junttila Juhani, Mäkitie Antti, Sistonen Lea, Palotie Aarno, Turunen Joni, Oksala Niku, Haapasalo Annakaisa, Leinonen Ville, Tavi Pasi, Varjosalo Markku, Eriksson John, Meri Seppo, Myllyharju Johanna, Rinne Juha, Schleutker Johanna, Pihlajaniemi Taina, Yla Herttuala, Leppä Sirpa, Myöhänen Timo, Nymark Soile, Jalkanen Sirpa, Kajantie Eero, Malm Tarja"
"Kaikkonen-Määttä Minna",32,404,0.00426307909341716,0.00501221603082553,6,"Yla Herttuala","Yla Herttuala, Roivainen Anne, Malm Tarja, Tavi Pasi, Laakso Markku, Saraste Antti, Koistinaho Jari, Kanninen Katja, Pietiläinen Kirsi, Lohi Olli, Varjosalo Markku, Hytönen Vesa, Katajisto Pekka, Lindfors Katri, Ruusuvuori Pekka, Taimen Pekka, Aalto-Setälä Katriina, Heinäniemi Merja, Nykter Matti, Paakinaho Ville, Sistonen Lea, Alitalo Kari, Hiltunen Mikko"
"Kaila Kai",15,136,0.0259529203289414,0.000609920303257338,4,"Vanhatalo Sampsa","Vanhatalo Sampsa, Palva Matias, Saarma Mart, Palva Satu, Carpen Olli, Paavilainen Ville, Tienari Pentti, Vapalahti Olli, Shulga Anastasia, Hovatta Iiris, Koistinaho Jari, Lehesjoki Anna-Elina"
"Kainulainen Samu",4,128,0,4.85010889894199e-05,3,"Töyräs Juha","Töyräs Juha, Afara Isaac, Yla Herttuala"
"Kajantie Eero",24,268,0.0065317657500641,0.00805197046807825,11,"Mäkitie Outi","Kere Juha, Mäkitie Outi, Ala-Korpela Mika, Palotie Aarno, Laakso Markku, Meri Seppo, Pietiläinen Kirsi, Hovatta Iiris, Carpen Olli, Junttila Juhani, Koivunen Peppi, Lundin Johan, Schleutker Johanna, Tienari Pentti, Ojala Tiina, Elo Laura, Poutanen Matti, Ashorn Per, Kaarniranta Kai, Otonkoski Timo"
"Kakkola Laura",20,318,0.00855803376288484,0.0339005148379797,9,"Lempainen Johanna","Vapalahti Olli, Kantele Anu, Lempainen Johanna, Aittokallio Tero, Sironen Tarja, Visakorpi Tapio, Söderlund-Venermo Maria, Tammela Teuvo, Auvinen Anssi, Järvinen Tero, Ojala Päivi, Varjosalo Markku, Huhtamo Eili, Hytönen Vesa, Yla Herttuala"
"Kallijärvi Jukka",8,46,0.00307243364300044,0.000230486354886759,4,"Lehesjoki Anna-Elina","Lehesjoki Anna-Elina, Saarma Mart, Tyynismaa Henna, Hietakangas Ville, Wartiovaara Anu, Kere Juha, Mattila Jaakko"
