"community","author","wdegree","primary_neighbors"
7,"Malm Tarja",1599,"Koistinaho Jari, Kanninen Katja, Leinonen Ville, Yla Herttuala, Haapasalo Annakaisa, Kaikkonen-Määttä Minna, Rinne Juha, Hiltunen Mikko, Pietiläinen Kirsi, Tavi Pasi, Tohka Jussi, Kälviäinen Reetta, Myllyharju Johanna, Alitalo Kari, Ketola Kirsi, Nummenmaa Lauri, Haapasalo-Tuomainen Karita, Meri Seppo, Varjosalo Markku, Huttunen Kristiina, Eklund Lauri, Koivunen Peppi, Pihlajaniemi Taina, Airas Laura, Hovatta Iiris, Skottman Heli, Kaarniranta Kai, Lindsberg Perttu"
8,"Hallman Mikko",667,"Rämet Mika, Palotie Aarno, Haapalainen Antti, Ashorn Per, Aalto-Setälä Katriina, Carpen Olli, Kälviäinen Reetta, Rinne Juha, Schleutker Johanna, Jartti Tuomas, Jalkanen Sirpa, Knip Mikael, Salmi Marko, Kere Juha, Meri Seppo, Heikinheimo Markku"
8,"Rämet Mika",556,"Hallman Mikko, Haapalainen Antti, Palotie Aarno, Nykter Matti, Silvennoinen Olli, Lohi Olli, Hytönen Vesa, Myllyharju Johanna, Ungureanu Daniela, Jartti Tuomas, Varjosalo Markku, Meri Seppo, Knip Mikael, Koivunen Peppi, Andressoo Jaan-Olle, Hietakangas Ville"
8,"Ashorn Per",276,"Hallman Mikko, Hyöty Heikki, Pörsti Ilkka, Vanhatalo Sampsa, Knip Mikael, Kajantie Eero, Laitinen Kirsi, Söderlund-Venermo Maria"
9,"Groop Per-Henrik",1810,"Sandholm-Lafferre Niina, Putaala Jukka, Ala-Korpela Mika, Knip Mikael, Lehtonen Sanna, Pietiläinen Kirsi, Pussinen Pirkko, Palotie Aarno, Laakso Markku, Ollikainen Miina, Tukiainen Taru, Yki-Järvinen Hannele, Lindsberg Perttu, Otonkoski Timo, Turunen Joni, Brenner Charles, Ganna Andrea, Katajisto Pekka, Ketola Kirsi, Lempainen Johanna, Pörsti Ilkka, Kere Juha, Toppari Jorma, Ivaska Johanna, Olkkonen Vesa, Pellinen Teijo, Skottman Heli, Yla Herttuala, Meri Seppo"
9,"Pietiläinen Kirsi",1150,"Ollikainen Miina, Yki-Järvinen Hannele, Laakso Markku, Wartiovaara Anu, Groop Per-Henrik, Virtanen Kirsi, Katajisto Pekka, Tyynismaa Henna, Lehtonen Sanna, Malm Tarja, Palotie Aarno, Ala-Korpela Mika, Brenner Charles, Hovatta Iiris, Kaikkonen-Määttä Minna, Tukiainen Taru, Ketola Kirsi, Latvala Antti, Rinne Juha, Hautaniemi Sampsa, Kajantie Eero, Vattulainen Ilpo, Pussinen Pirkko, Pörsti Ilkka, Nummenmaa Lauri, Ristimäki Ari, Varjosalo Markku, Elo Laura, Meri Seppo, Mäkitie Outi, Hemminki Akseli, Luukkonen Panu, Niiranen Teemu, Olkkonen Vesa"
9,"Sandholm-Lafferre Niina",873,"Groop Per-Henrik, Putaala Jukka, Palotie Aarno, Lindsberg Perttu, Lehtonen Sanna, Lohi Hannes, Savarese Marco, Ganna Andrea, Knip Mikael, Pussinen Pirkko, Skottman Heli, Yla Herttuala"
10,"Belogurov Georgi",80,"Malinen Anssi, Metsä-Ketelä Mikko"
10,"Malinen Anssi",48,"Belogurov Georgi, Metsä-Ketelä Mikko"
10,"Metsä-Ketelä Mikko",44,"Belogurov Georgi, Malinen Anssi"
11,"Vapalahti Olli",2251,"Sironen Tarja, Kantele Anu, Huhtamo Eili, Kakkola Laura, Kekäläinen Eliisa, Meri Seppo, Huiskonen Juha, Hautala Timo, Lempainen Johanna, Butcher Sarah, Aittokallio Tero, Knip Mikael, Sajantila Antti, Carpen Olli, Alitalo Kari, Söderlund-Venermo Maria, Tienari Pentti, Kanninen Katja, Katajisto Pekka, Paavilainen Ville, Laakso Markku, Varjosalo Markku, Yla Herttuala, Cerullo Vincenzo, Hyöty Heikki, Kaila Kai, Mäkitie Antti, Ojala Päivi, Toppari Jorma, Aaltonen Lauri, Koistinaho Jari, Otonkoski Timo, Hytönen Vesa, Kinnunen Tuure, Ojala Tiina, Wartiovaara Anu, Lehtonen Sanna"
11,"Varjosalo Markku",1830,"Hautaniemi Sampsa, Kere Juha, Leppä Sirpa, Joensuu Heikki, Alitalo Kari, Hautala Timo, Mustjoki Satu, Otonkoski Timo, Vuoristo Sanna, Haapasalo-Tuomainen Karita, Lappalainen Pekka, Sahu Biswajyoti, Frilander Mikko, Kivelä Riikka, Heckman Caroline, Tapanainen Juha, Wei Gonghong, Kaarniranta Kai, Kilpivaara Outi, Urtti Arto, Aaltonen Lauri, Meri Seppo, Saarma Mart, Huiskonen Juha, Ojala Tiina, Olkkonen Vesa, Ungureanu Daniela, Ikonen Elina, Paakinaho Ville, Ristimäki Ari, Silvennoinen Olli, Wartiovaara-Kautto Ulla, Hytönen Vesa, Katajisto Pekka, Kontro Mika, Ojala Päivi, Pietiläinen Kirsi, Cerullo Vincenzo, Kaikkonen-Määttä Minna, Koistinaho Jari, Myllyharju Johanna, Paavilainen Ville, Rämet Mika, Tyynismaa Henna, Vattulainen Ilpo, Leinonen Ville, Malm Tarja, Mäkitie Outi, Vapalahti Olli, Aalto-Setälä Katriina, Haglund Caj, Kakkola Laura, Kekäläinen Eliisa, Kinnunen Tuure, Lohi Olli, Pellinen Teijo, Hietakangas Ville, Lehtonen Sanna, Mattila Jaakko, Westermarck Jukka, Elenius Klaus, Eriksson John, Ivaska Johanna, Junttila Juhani, Visakorpi Tapio, Vähärautio Anna, Andressoo Jaan-Olle, Butcher Sarah, Pussinen Pirkko, Rantamäki Tomi, Ritari Jarmo, Yla Herttuala"
11,"Kere Juha",1722,"Kajantie Eero, Varjosalo Markku, Lohi Hannes, Sajantila Antti, Otonkoski Timo, Knip Mikael, Mustjoki Satu, Tapanainen Juha, Vuoristo Sanna, Lahesmaa Riitta, Meri Seppo, Palotie Aarno, Hyöty Heikki, Sahu Biswajyoti, Aaltonen Lauri, Haapasalo-Tuomainen Karita, Hautala Timo, Kaukinen Katri, Toppari Jorma, Lehtonen Sanna, Carpen Olli, Schleutker Johanna, Haglund Caj, Hovatta Iiris, Lundin Johan, Lehesjoki Anna-Elina, Peltomäki Päivi, Renvall Hanna, Laakso Markku, Lempainen Johanna, Mäkitie Outi, Skottman Heli, Alitalo Kari, Cerullo Vincenzo, Joensuu Heikki, Junttila Juhani, Kähäri Veli-Matti, Pirinen Matti, Turunen Joni, Groop Per-Henrik, Mikkola Marja, Saraste Antti, Wartiovaara-Kautto Ulla, Aittokallio Tero, Lindfors Katri, Ollikainen Miina, Poutanen Matti, Saarma Mart, Wei Gonghong, Hallman Mikko, Ikonen Elina, Jernvall Jukka, Kallijärvi Jukka, Lindsberg Perttu, Ojala Tiina"
12,"Carpen Olli",3613,"Hautaniemi Sampsa, Kauppi Liisa, Haglund Caj, Kälviäinen Reetta, Ristimäki Ari, Aalto-Setälä Katriina, Westermarck Jukka, Schleutker Johanna, Hiltunen Mikko, Rinne Juha, Palotie Aarno, Junttila Juhani, Vähärautio Anna, Kaarniranta Kai, Ganna Andrea, Hovatta Iiris, Joensuu Heikki, Mäkitie Antti, Lindsberg Perttu, Aittokallio Tero, Vapalahti Olli, Saharinen Pipsa, Tienari Pentti, Kere Juha, Leppä Sirpa, Poutanen Matti, Kantele Anu, Kekäläinen Eliisa, Ojala Päivi, Sajantila Antti, Niiranen Teemu, Pirinen Matti, Myllyharju Johanna, Turunen Joni, Vaahtomeri Kari, Hallman Mikko, Meri Seppo, Heikinheimo Markku, Kajantie Eero, Kähäri Veli-Matti, Lahesmaa Riitta, Pakarinen Mikko, Pellinen Teijo, Tyynismaa Henna, Aaltonen Lauri, Ivaska Johanna, Kaila Kai, Katajisto Pekka, Haapasalo Annakaisa, Kivelä Riikka, Lund Riikka, Olkkonen Vesa, Rantamäki Tomi, Taimen Pekka, Toppari Jorma, Jussi Posti, Lappalainen Pekka, Mustjoki Satu, Myöhänen Timo, Wartiovaara-Kautto Ulla"
12,"Hautaniemi Sampsa",3236,"Carpen Olli, Kauppi Liisa, Vähärautio Anna, Leppä Sirpa, Varjosalo Markku, Joensuu Heikki, Aaltonen Lauri, Ojala Päivi, Alitalo Kari, Sahu Biswajyoti, Kekäläinen Eliisa, Ristimäki Ari, Meri Seppo, Mustjoki Satu, Wartiovaara Anu, Haglund Caj, Ungureanu Daniela, Salmi Marko, Aittokallio Tero, Nykter Matti, Westermarck Jukka, Pietiläinen Kirsi, Ivaska Johanna, Saharinen Pipsa, Heckman Caroline, Jalkanen Sirpa, Wei Gonghong, Mäkinen Taija, Ketola Kirsi, Lundin Johan, Heinäniemi Merja, Hemminki Akseli, Kilpivaara Outi, Lohi Olli, Pellinen Teijo, Peltomäki Päivi, Elo Laura, Frilander Mikko, Hietakangas Ville, Lahesmaa Riitta, Sistonen Lea, Taimen Pekka, Toppari Jorma, Ikonen Elina, Lindsberg Perttu, Mäkitie Antti, Niemi Mikko, Schleutker Johanna"
12,"Kauppi Liisa",1576,"Hautaniemi Sampsa, Carpen Olli, Vähärautio Anna, Kekäläinen Eliisa, Leppä Sirpa, Kotaja Noora, Mustjoki Satu, Toppari Jorma, Aaltonen Lauri, Tyynismaa Henna, Kilpivaara Outi, Sajantila Antti"
13,"Knip Mikael",4574,"Hyöty Heikki, Toppari Jorma, Lempainen Johanna, Lahesmaa Riitta, Lindfors Katri, Kinnunen Tuure, Otonkoski Timo, Elo Laura, Groop Per-Henrik, Lund Riikka, Kere Juha, Söderlund-Venermo Maria, Tapanainen Juha, Vapalahti Olli, Sironen Tarja, Hytönen Vesa, Laakso Markku, Aittokallio Tero, Jartti Tuomas, Ashorn Per, Hallman Mikko, Jalkanen Sirpa, Kaukinen Katri, Rämet Mika, Saarma Mart, Salmi Marko, Sandholm-Lafferre Niina, Tienari Pentti, Urtti Arto, Airas Laura, He Qiushui, Meri Seppo, Mäkinen Taija, Pakarinen Mikko, Palotie Aarno"
13,"Toppari Jorma",3795,"Knip Mikael, Hyöty Heikki, Lindfors Katri, Lempainen Johanna, Kinnunen Tuure, Lahesmaa Riitta, Kotaja Noora, Elo Laura, Lund Riikka, Poutanen Matti, Söderlund-Venermo Maria, Heikinheimo Markku, Kere Juha, Otonkoski Timo, Tapanainen Juha, Nykter Matti, Westermarck Jukka, Kauppi Liisa, Rantakari Pia, Groop Per-Henrik, Jartti Tuomas, Rautajoki Kirsi, Vapalahti Olli, Carpen Olli, Frilander Mikko, Hautaniemi Sampsa, Ikonen Elina, Lehesjoki Anna-Elina, Ruusuvuori Pekka, Salmi Marko, Boström Peter, Laakso Markku, Lohi Olli, Mäkitie Outi"
13,"Hyöty Heikki",3224,"Knip Mikael, Toppari Jorma, Lindfors Katri, Lahesmaa Riitta, Hytönen Vesa, Elo Laura, Lempainen Johanna, Söderlund-Venermo Maria, Ashorn Per, Kinnunen Tuure, Kere Juha, Nykter Matti, Lund Riikka, Kaukinen Katri, Aittokallio Tero, Jartti Tuomas, Rautajoki Kirsi, Vapalahti Olli, Lohi Olli, Yla Herttuala"
