"author","degree","wdegree","betweenness","eigenvector","community","primary_neighbor_MaxW","primary_neighbors"
"Gerald M. Edelman",15,172,0.0137587238285145,0.168585849403111,10,"Joshua Lederberg","Baruj Benacerraf, David Baltimore, Joshua Lederberg, César Milstein, Francis Crick, Karl Landsteiner, Niels K. Jerne, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Susumu Tonegawa, Stanley B. Prusiner"
"Gertrude B. Elion",2,156,0,0,16,"George H. Hitchings","George H. Hitchings"
"Gerty Cori",3,152,0,0.00520261767472751,1,"Carl Cori","Carl Cori, Severo Ochoa"
"Günter Blobel",8,25,0.10380423355783,0.0209384418062838,7,"George E. Palade","George E. Palade, Francis Crick, Françoise Barré-Sinoussi, Thomas C. Südhof, Torsten N. Wiesel, Oliver Smithies, Hans Krebs, Phillip A. Sharp"
"H. Gobind Khorana",2,6,0,0.0113357127145816,3,"Arthur Kornberg","Arthur Kornberg"
"H. Robert Horvitz",11,50,0.000617196030954755,0.00110257656889386,5,"Victor Ambros","John E. Sulston, Victor Ambros, Gary Ruvkun, Sydney Brenner, Andrew Z. Fire, Craig C. Mello"
"Hans Krebs",5,18,0.0695878351340536,0.000478620356468696,1,"Fritz Lipmann","Fritz Lipmann, Albert Szent-Györgyi, Charles B. Huggins, Carl Cori, Günter Blobel"
"Hans Spemann",2,2,0,0,17,"Hans Spemann",NA
"Harold E. Varmus",5,14,0.00176613018088591,0.0093050030690441,5,"David Baltimore","David Baltimore, Mario R. Capecchi, Richard J. Roberts, Françoise Barré-Sinoussi"
"Harvey Alter",6,10,0.00843896880786213,0.0000189359572657689,7,"Charles Rice","Charles Rice, Baruch S. Blumberg, Louis J. Ignarro"
"Herbert S. Gasser",3,82,0.0143854151830224,1.24004863526025e-09,8,"Joseph Erlanger","Joseph Erlanger, Archibald V. Hill"
"Hermann J. Muller",2,6,0,0,2,"Hermann J. Muller",NA
"Howard M. Temin",3,10,0,0.0129890886423314,7,"Luc Montagnier","David Baltimore, Luc Montagnier"
"Ivan Pavlov",2,2,0,0,18,"Ivan Pavlov",NA
"J. Michael Bishop",2,14,0,0,19,"J. Michael Bishop",NA
"Jack W. Szostak",7,26,0.0286284005127475,0.00358020136938148,11,"Elizabeth H. Blackburn","Elizabeth H. Blackburn, Carol W. Greider, Gary Ruvkun, Michael Rosbash, Phillip A. Sharp"
"Jacques Monod",3,16,0,0.00116502960806027,7,"André Lwoff","André Lwoff, Francis Crick"
"James Watson",2,2,0,0,20,"James Watson",NA
"Jean Dausset",4,8,0.000982765987751032,0.00707038021292363,15,"Baruj Benacerraf","Baruj Benacerraf, Rolf M. Zinkernagel"
"John E. Sulston",8,32,0.0225819141215808,0.00423151549748379,5,"Sydney Brenner","H. Robert Horvitz, Sydney Brenner, Andrew Z. Fire, Gary Ruvkun, Tim Hunt, Torsten N. Wiesel, Victor Ambros"
"John F. Enders",4,60,0,0.0547997422370615,1,"Frederick C. Robbins","Frederick C. Robbins, Thomas H. Weller"
"John Macleod",2,12,0,0,13,"David Julius","David Julius"
"John R. Vane",3,4,0,0.00347402491046555,3,"Ferid Murad","Ferid Murad"
"Joseph Erlanger",2,80,0,2.13955235549085e-10,8,"Herbert S. Gasser","Herbert S. Gasser"
"Joseph L. Goldstein",22,429,0.000351326971466553,0.773651037046149,3,"Arthur Kornberg","Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Thomas C. Südhof"
"Joshua Lederberg",35,624,0.190064161257723,0.935110357649606,10,"Baruj Benacerraf","David Baltimore, Baruj Benacerraf, Susumu Tonegawa, Arthur Kornberg, George E. Palade, Julius Axelrod, Marshall W. Nirenberg, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, Joseph L. Goldstein, Konrad Bloch, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Thomas H. Weller, Torsten N. Wiesel, Gerald M. Edelman, Niels K. Jerne, César Milstein, Francis Crick, Karl Landsteiner, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Edward Tatum, Salvador E. Luria, Fritz Lipmann"
"Julius Axelrod",21,446,0.0000712149266486255,0.814289667536596,3,"Marshall W. Nirenberg","Marshall W. Nirenberg, Arthur Kornberg, George E. Palade, Joshua Lederberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, Joseph L. Goldstein, Konrad Bloch, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, D. Carleton Gajdusek"
"Karl Landsteiner",12,156,0,0.141387311778197,10,"Baruj Benacerraf","Baruj Benacerraf, César Milstein, David Baltimore, Francis Crick, Gerald M. Edelman, Joshua Lederberg, Niels K. Jerne, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Susumu Tonegawa"
"Karl von Frisch",2,2,0,0,21,"Karl von Frisch",NA
"Konrad Bloch",22,446,0,0.821239435484871,3,"Arthur Kornberg","Arthur Kornberg, Daniel Nathans, David Baltimore, Baruj Benacerraf, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel"
"Leland Hartwell",2,6,0,0.000686037156765748,7,"Renato Dulbecco","Renato Dulbecco"
"Louis J. Ignarro",3,4,0,9.42577001834627e-06,7,"Harvey Alter","Charles Rice, Harvey Alter"
"Luc Montagnier",6,68,0,0.00565122190804058,7,"Françoise Barré-Sinoussi","Françoise Barré-Sinoussi, D. Carleton Gajdusek, Howard M. Temin, David Baltimore, Renato Dulbecco"
"Mario R. Capecchi",5,12,0.00404907725802185,0.0108110252293142,5,"Harold E. Varmus","Phillip A. Sharp, Harold E. Varmus, Stanley Cohen"
"Marshall W. Nirenberg",23,468,0.00265421011753443,0.837764439504771,3,"Arthur Kornberg","Arthur Kornberg, Julius Axelrod, David Baltimore, George E. Palade, Joshua Lederberg, Baruj Benacerraf, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, Joseph L. Goldstein, Konrad Bloch, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Alfred G. Gilman, Andrew Z. Fire, D. Carleton Gajdusek"
"Max Delbrück",4,8,0,0.00105879036824177,10,"Francis Crick","Francis Crick, Salvador E. Luria"
"May-Britt Moser",2,2,0,0.000105907626537146,7,"Eric Kandel","Eric Kandel, Edvard I. Moser"
"Michael Rosbash",4,6,0.0308421673754247,0.00782693304345105,11,"Jack W. Szostak","David Baltimore, Jack W. Szostak, Phillip A. Sharp"
"Niels K. Jerne",16,208,0.0189953947680767,0.150379225267256,10,"Werner Arber","Werner Arber, César Milstein, Francis Crick, Joshua Lederberg, Baruj Benacerraf, David Baltimore, Gerald M. Edelman, Karl Landsteiner, Peter C. Doherty, Peter Medawar, Rodney R. Porter, Rolf M. Zinkernagel, Susumu Tonegawa, Salvador E. Luria"
"Otto Meyerhof",2,4,0.0423016664292836,0.0000646631428318597,8,"Archibald V. Hill","Archibald V. Hill, Fritz Lipmann"
"Paul Greengard",11,68,0.0131034026348084,0.0642686994493415,7,"Richard J. Roberts","Richard J. Roberts, Roger Guillemin, Eric Kandel, Ferid Murad, Renato Dulbecco, Susumu Tonegawa, Edmond H. Fischer, Erwin Neher, Thomas C. Südhof, George E. Palade"
"Peter C. Doherty",18,226,0.00251897369117138,0.185898888395952,10,"Rolf M. Zinkernagel","Rolf M. Zinkernagel, David Baltimore, Susumu Tonegawa, Baruj Benacerraf, César Milstein, Francis Crick, Gerald M. Edelman, Joshua Lederberg, Karl Landsteiner, Niels K. Jerne, Peter Medawar, Rodney R. Porter, Stanley Cohen"
"Peter Medawar",12,156,0,0.141387311778197,10,"Baruj Benacerraf","Baruj Benacerraf, César Milstein, David Baltimore, Francis Crick, Gerald M. Edelman, Joshua Lederberg, Karl Landsteiner, Niels K. Jerne, Peter C. Doherty, Rodney R. Porter, Rolf M. Zinkernagel, Susumu Tonegawa"
"Phillip A. Sharp",33,491,0.0644321005238254,0.810963008730577,3,"Arthur Kornberg","David Baltimore, Andrew Z. Fire, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel, Stanley Cohen, Mario R. Capecchi, Gary Ruvkun, Günter Blobel, Jack W. Szostak, Michael Rosbash, Richard J. Roberts"
"Randy W. Schekman",2,7,0.00227887765275602,0.0113889507593745,3,"Arthur Kornberg","Arthur Kornberg, Erwin Neher"
"Renato Dulbecco",13,60,0.0367772173070564,0.0530154045343537,7,"Eric Kandel","Susumu Tonegawa, Eric Kandel, Ferid Murad, Paul Greengard, Richard J. Roberts, Roger Guillemin, Leland Hartwell, André Lwoff, David Baltimore, George E. Palade, Luc Montagnier"
"Richard J. Roberts",14,73,0.029548316501742,0.0644319655016305,7,"Paul Greengard","Paul Greengard, Roger Guillemin, Eric Kandel, Ferid Murad, Renato Dulbecco, Susumu Tonegawa, Edmond H. Fischer, Erwin Neher, Harold E. Varmus, Phillip A. Sharp, Sydney Brenner, Sir John B. Gurdon"
"Robert F. Furchgott",20,420,0,0.773247414862416,3,"Arthur Kornberg","Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Roger Guillemin, Susumu Tonegawa, Thomas H. Weller, Torsten N. Wiesel"
"Rodney R. Porter",12,156,0,0.141387311778197,10,"Baruj Benacerraf","Baruj Benacerraf, César Milstein, David Baltimore, Francis Crick, Gerald M. Edelman, Joshua Lederberg, Karl Landsteiner, Niels K. Jerne, Peter C. Doherty, Peter Medawar, Rolf M. Zinkernagel, Susumu Tonegawa"
"Roger Guillemin",27,516,0.0143854151830224,0.820136627212623,3,"Ferid Murad","Andrew V. Schally, Ferid Murad, Susumu Tonegawa, Edmond H. Fischer, David H. Hubel, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, Edwin G. Krebs, Eric F. Wieschaus, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Thomas H. Weller, Torsten N. Wiesel, Paul Greengard, Richard J. Roberts, Eric Kandel, Renato Dulbecco, Erwin Neher"
"Rolf M. Zinkernagel",16,250,0.014043583535109,0.193377897370081,10,"Peter C. Doherty","Peter C. Doherty, César Milstein, Baruj Benacerraf, Susumu Tonegawa, David Baltimore, Francis Crick, Gerald M. Edelman, Joshua Lederberg, Karl Landsteiner, Niels K. Jerne, Peter Medawar, Rodney R. Porter, Jean Dausset"
"Salvador E. Luria",4,12,0.00696719365712386,0.00803240294328798,10,"Francis Crick","Francis Crick, Joshua Lederberg, Max Delbrück, Niels K. Jerne"
"Severo Ochoa",8,22,0.0261121397711627,0.0153817187852009,1,"Arthur Kornberg","Arthur Kornberg, Feodor Lynen, Fritz Lipmann, Carl Cori, Gerty Cori"
"Shinya Yamanaka",3,4,0,0.00035548356233192,5,"Stanley Cohen","Stanley Cohen, Sir John B. Gurdon"
"Sir John B. Gurdon",3,3,0.0151535190347325,0.000258037577338511,5,"Richard J. Roberts","Richard J. Roberts, Shinya Yamanaka, Stanley Cohen"
"Sir John Eccles",0,0,0,0,25,NA,NA
"Stanley B. Prusiner",5,8,0.0213357042868508,0.000951549150423945,7,"D. Carleton Gajdusek","D. Carleton Gajdusek, Gerald M. Edelman, Thomas C. Südhof"
"Stanley Cohen",11,38,0.040157079781065,0.0548559237133244,5,"Phillip A. Sharp","Phillip A. Sharp, David Baltimore, Peter C. Doherty, Susumu Tonegawa, Shinya Yamanaka, Mario R. Capecchi, Sir John B. Gurdon"
"Susumu Tonegawa",38,638,0.033351645743043,0.923225577477468,10,"Baruj Benacerraf","David Baltimore, Baruj Benacerraf, Joshua Lederberg, Ferid Murad, Roger Guillemin, Arthur Kornberg, Daniel Nathans, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, George E. Palade, Joseph L. Goldstein, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Thomas H. Weller, Torsten N. Wiesel, Rolf M. Zinkernagel, Peter C. Doherty, César Milstein, Francis Crick, Gerald M. Edelman, Karl Landsteiner, Niels K. Jerne, Peter Medawar, Rodney R. Porter, Eric Kandel, Renato Dulbecco, Paul Greengard, Richard J. Roberts, Stanley Cohen"
"Sydney Brenner",8,34,0.0263919126972823,0.00591292967213667,5,"Francis Crick","Francis Crick, John E. Sulston, H. Robert Horvitz, César Milstein, Eric Kandel, Richard J. Roberts, Tim Hunt"
"Thomas C. Südhof",12,29,0.112621823254212,0.021735793251372,7,"Joseph L. Goldstein","Joseph L. Goldstein, Erwin Neher, Paul Greengard, Françoise Barré-Sinoussi, Günter Blobel, Torsten N. Wiesel, Stanley B. Prusiner, Eric Kandel"
"Thomas H. Weller",29,520,0.00526990457199829,0.78276727410887,3,"Arthur Kornberg","Frederick C. Robbins, John F. Enders, Arthur Kornberg, Baruj Benacerraf, Daniel Nathans, David Baltimore, David H. Hubel, Edmond H. Fischer, Edwin G. Krebs, Eric F. Wieschaus, Ferid Murad, George E. Palade, Joseph L. Goldstein, Joshua Lederberg, Julius Axelrod, Konrad Bloch, Marshall W. Nirenberg, Phillip A. Sharp, Robert F. Furchgott, Roger Guillemin, Susumu Tonegawa, Torsten N. Wiesel, Albert Szent-Györgyi, Carl Cori, Edward A. Doisy, Edward Tatum, George Beadle"
"Tim Hunt",4,6,0.000664672648720505,0.0000439470735465648,5,"John E. Sulston","John E. Sulston, Sydney Brenner"
