"id","name","display_name","works_count"
"https://openalex.org/A5036252076","Pihlajaniemi Taina","Taina Pihlajaniemi",447
"https://openalex.org/A5019926598","Izzi Valerio","Valerio Izzi",109
"https://openalex.org/A5062886298","Lehtiö Lari","L. Lehtiö",295
"https://openalex.org/A5058684324","Pussinen Pirkko","Pirkko J. Pussinen",320
"https://openalex.org/A5040673213","Lempainen Johanna","Johanna Lempainen",83
"https://openalex.org/A5061445522","Putaala Jukka","Jukka Putaala",461
"https://openalex.org/A5120625885","Levonen-Harju Anna-Liisa","Anna-Liisa Levonen-Harju",2
"https://openalex.org/A5087888043","Rinne Juha","Juha O. Rinne",616
"https://openalex.org/A5079956770","Li Wei","Wei Li",4282
"https://openalex.org/A5014513326","Roivainen Anne","Anne Roivainen",268
"https://openalex.org/A5026529813","Saraste Antti","Antti Saraste",557
"https://openalex.org/A5011760436","Lohi Hannes","Hannes Lohi",407
"https://openalex.org/A5018166081","Turunen Joni","Joni A. Turunen",142
"https://openalex.org/A5030780763","Rosenholm Jessica","Jessica M. Rosenholm",265
"https://openalex.org/A5100344286","Li Xiang-Guo","Lei Guo",485
"https://openalex.org/A5051353759","Louvanto Karolina","Karolina Louvanto",74
"https://openalex.org/A5026170248","Saarma Mart","Märt Saarma",369
"https://openalex.org/A5061523469","Lundin Johan","Johan Lundin",266
"https://openalex.org/A5040628945","Sanches Ribeiro","André S. Ribeiro",172
"https://openalex.org/A5016372894","Malinen Anssi","Anssi M. Malinen",45
"https://openalex.org/A5064770282","Huovinen Tuomas","Tuomas Huovinen",28
"https://openalex.org/A5082443827","Savarese Marco","Marco Savarese",201
"https://openalex.org/A5065277864","McWilliams Thomas","Thomas G. McWilliams",54
"https://openalex.org/A5073976193","Schleutker Johanna","Johanna Schleutker",368
"https://openalex.org/A5010966264","Meinander Annika","Annika Meinander",49
"https://openalex.org/A5024265800","Seppälä Toni","Toni T. Seppälä",395
"https://openalex.org/A5025820462","Meri Seppo","Seppo Meri",574
"https://openalex.org/A5018504549","Shulga Anastasia","Anastasia Shulga",47
"https://openalex.org/A5016570232","Mikkola Marja","Marja L. Mikkola",115
"https://openalex.org/A5034562303","Silvennoinen Olli","Olli Silvennoinen",184
"https://openalex.org/A5040800642","Mirtti Tuomas","Tuomas Mirtti",433
"https://openalex.org/A5052281689","Sironen Tarja","Tarja Sironen",291
"https://openalex.org/A5078817501","Myöhänen Timo","Timo T. Myöhänen",76
"https://openalex.org/A5033333614","Sourander Andre","André Sourander",491
"https://openalex.org/A5073832978","Lund Riikka","Riikka Lund",97
"https://openalex.org/A5063288234","Mäkinen Taija","Taija Mäkinen",157
"https://openalex.org/A5080433333","Sundberg Lotta-Riina","Lotta‐Riina Sundberg",104
"https://openalex.org/A5047851431","Niemi Mikko","Mikko Niemi",368
"https://openalex.org/A5087842948","Oksala Niku","Niku Oksala",283
"https://openalex.org/A5063874943","Vehkaoja Antti","Antti Vehkaoja",188
"https://openalex.org/A5011425417","Tammela Teuvo","Teuvo L.J. Tammela",1086
"https://openalex.org/A5075525029","Olkkonen Vesa","Vesa M. Olkkonen",329
"https://openalex.org/A5079665118","Tang Jing","R. R. Alfano",1225
"https://openalex.org/A5043098809","Ollikainen Miina","Miina Ollikainen",183
"https://openalex.org/A5018051251","Tukiainen Taru","Taru Tukiainen",134
"https://openalex.org/A5029206198","Paakinaho Ville","Ville Paakinaho",172
"https://openalex.org/A5080499234","Tyynismaa Henna","Henna Tyynismaa",153
"https://openalex.org/A5022915896","Paavilainen Ville","Ville O. Paavilainen",81
"https://openalex.org/A5061605544","Töyräs Juha","Juha Töyräs",457
"https://openalex.org/A5003183974","Kainulainen Samu","Samu Kainulainen",71
